,video_id,frame_seq,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
10,56,241,0,8.033333333333308,0.0,65.49045732013177,6.0,10.198039027185569,17.11724276862369,18.027756377319946,17.26267650163207,33.37663853655727,23.194827009486403,23.0,29.0,21.0,8.0,8.0,2.0,4.0,5.385164807134504,5.0990195135927845,5.0,18.0,33.0,30.4138126514911
11,56,242,0,8.066666666666642,2.23606797749979,69.46221994724903,4.123105625617661,10.04987562112089,18.110770276274835,19.1049731745428,18.110770276274835,34.36568055487916,24.331050121192877,23.0,28.0,20.0,6.0,10.0,1.0,3.0,5.0990195135927845,4.123105625617661,4.0,20.0,34.0,34.132096331752024
12,56,243,0,8.099999999999975,1.4142135623730951,68.3593446428504,5.0990195135927845,12.165525060596439,18.027756377319946,18.027756377319946,19.235384061671343,37.656340767525464,25.495097567963924,24.5,29.0,22.0,6.5,11.5,0.5,2.5,6.082762530298219,6.082762530298219,6.0,18.0,30.0,27.16615541441225
13,56,244,0,8.133333333333308,1.4142135623730951,69.46221994724903,5.0990195135927845,12.165525060596439,17.11724276862369,18.110770276274835,18.24828759089466,36.6742416417845,24.515301344262525,23.5,28.0,20.0,6.0,12.0,0.0,3.0,7.0710678118654755,6.082762530298219,6.0,19.0,31.0,29.068883707497267
14,56,245,0,8.166666666666641,2.0,67.26812023536856,5.0990195135927845,12.165525060596439,18.110770276274835,19.026297590440446,18.24828759089466,37.48332962798263,25.317977802344327,24.0,29.0,23.0,8.0,11.0,0.0,4.0,5.0990195135927845,5.385164807134504,5.0,15.0,32.0,31.78049716414141
15,56,246,0,8.199999999999974,1.4142135623730951,63.387695966961914,6.082762530298219,13.152946437965905,17.11724276862369,18.027756377319946,19.235384061671343,39.6232255123179,26.476404589747453,25.5,31.0,24.0,8.5,11.5,1.5,4.5,5.385164807134504,5.0990195135927845,5.0,14.0,27.0,20.615528128088304
16,56,247,0,8.233333333333308,3.605551275463989,64.38167441127949,6.0,11.0,19.026297590440446,20.09975124224178,18.24828759089466,38.3275357934736,27.459060435491963,25.5,31.0,24.0,9.5,10.5,1.5,4.5,5.0990195135927845,4.123105625617661,4.5,16.0,27.0,18.24828759089466
17,56,248,0,8.26666666666664,4.123105625617661,60.40695324215582,4.123105625617661,7.0710678118654755,16.1245154965971,18.110770276274835,20.09975124224178,35.35533905932738,28.284271247461902,26.0,31.0,24.0,7.5,7.5,0.5,4.5,6.324555320336759,6.082762530298219,6.0,17.0,31.0,29.427877939124322
18,56,249,0,8.299999999999974,3.1622776601683795,61.40032573203501,5.0990195135927845,9.055385138137417,18.027756377319946,19.1049731745428,19.026297590440446,36.22154055254967,27.16615541441225,25.5,31.0,24.0,8.5,8.5,0.5,4.5,5.385164807134504,4.123105625617661,4.5,17.0,30.0,24.515301344262525
19,56,250,0,8.333333333333307,3.1622776601683795,61.29437168288782,4.0,6.082762530298219,17.029386365926403,18.110770276274835,19.1049731745428,32.2490309931942,26.1725046566048,24.5,29.0,23.0,7.0,6.0,0.0,4.0,6.082762530298219,6.082762530298219,6.0,17.0,31.0,27.16615541441225
