,frame_seq,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
1915,1915,7.810249675906654,125.35549449465708,19.4164878389476,26.248809496813376,33.24154027718932,36.24913792078372,32.984845004941285,85.72630868059116,59.481089431852205,54.0,80.0,35.0,25.5,24.5,4.5,13.5,9.433981132056603,7.211102550927978,6.5,24.0,88.0,58.52349955359813
1916,1916,6.4031242374328485,124.06449935416659,18.681541692269406,25.298221281347036,31.38470965295043,35.84689665786984,34.20526275297414,84.11896337925236,58.82176467941097,53.5,79.0,35.0,24.0,23.0,3.0,13.0,7.810249675906654,8.602325267042627,7.0,26.0,89.0,58.18934610390462
1917,1917,4.47213595499958,124.42266674525185,20.396078054371138,26.248809496813376,34.17601498127012,37.33630940518894,34.48187929913333,84.11896337925236,57.87054518492115,54.0,79.0,34.0,23.5,23.5,3.5,10.5,8.602325267042627,7.810249675906654,6.0,25.0,89.0,62.297672508690084
1918,1918,6.4031242374328485,129.4488315899375,24.331050121192877,33.24154027718932,34.17601498127012,37.16180835212409,31.622776601683793,94.25497334358543,61.032778078668514,56.0,81.0,35.0,28.0,32.0,5.0,12.0,10.0,8.48528137423857,6.5,24.0,86.0,65.45991139621256
1919,1919,23.769728648009426,132.60844618650805,22.561028345356956,36.138621999185304,37.0,41.43669871020132,27.85677655436824,110.16351483136329,74.04052944165107,59.5,84.0,37.0,34.5,45.5,15.5,18.5,10.295630140987,9.899494936611665,8.5,24.0,88.0,67.67569726275453
1920,1920,31.78049716414141,133.19534526401438,21.37755832643195,33.95585369269929,37.0,43.32435804486894,27.730849247724095,114.28473213863697,80.36168241145776,61.5,85.0,39.0,37.0,48.0,20.0,22.0,13.0,11.40175425099138,9.5,24.0,86.0,65.45991139621256
1921,1921,25.0,133.5440002396214,23.53720459187964,34.92849839314596,37.0,42.37924020083418,26.92582403567252,110.16351483136329,75.28612089887484,60.0,84.0,37.0,35.5,45.5,15.5,19.5,13.92838827718412,12.529964086141668,11.5,24.0,87.0,68.30812543175226
1922,1922,9.433981132056603,125.7179382586272,22.561028345356956,35.17101079013795,32.31098884280702,37.16180835212409,29.410882339705484,96.16652224137046,61.032778078668514,54.0,81.0,35.0,30.0,34.0,6.0,14.0,15.231546211727817,12.529964086141668,12.0,23.0,86.0,67.67569726275453
1923,1923,5.0,125.59060474414477,24.331050121192877,29.120439557122072,32.89376840679705,35.4682957019364,29.410882339705484,84.11896337925236,55.02726596879042,52.0,77.0,34.0,27.5,24.5,1.5,9.5,17.08800749063506,15.231546211727817,14.5,25.0,89.0,65.7875368135941
1924,1924,5.0990195135927845,125.93649193144932,22.360679774997898,29.120439557122072,31.953090617340916,36.76955262170047,30.364452901377952,82.21921916437786,53.14132102234569,50.5,76.0,32.0,25.0,24.0,1.0,10.0,15.811388300841896,14.317821063276353,13.0,24.0,88.0,68.00735254367721
1925,1925,5.385164807134504,125.93649193144932,23.345235059857504,31.04834939252005,31.953090617340916,35.84689665786984,29.732137494637012,87.28115489611719,56.302753041036986,52.0,77.0,33.0,27.0,28.0,2.0,10.0,15.811388300841896,14.317821063276353,13.5,26.0,87.0,66.09841147864296
1926,1926,13.416407864998739,132.25732493892352,23.345235059857504,34.92849839314596,36.05551275463989,40.85339643163099,26.0,97.12363255150623,62.297672508690084,53.0,79.0,33.0,32.0,37.0,8.0,16.0,15.811388300841896,14.7648230602334,13.5,23.0,85.0,68.30812543175226
1927,1927,32.55764119219941,135.76818478568535,19.6468827043885,32.01562118716424,37.94733192202055,42.720018726587654,25.079872407968907,108.93117092916977,76.92203845452875,58.0,80.0,32.0,33.0,49.0,24.0,21.0,16.76305461424021,14.7648230602334,13.5,26.0,87.0,66.40783086353596
1928,1928,36.49657518178932,141.1523999087511,17.72004514666935,30.083217912982647,40.162171256046406,44.598206241955516,24.596747752497688,108.24047302187847,78.16009211867653,57.0,78.0,28.0,31.0,51.0,27.0,21.0,16.76305461424021,15.652475842498529,13.5,23.0,85.0,70.51950084905593
1929,1929,33.54101966249684,144.89996549343965,16.492422502470642,30.083217912982647,41.10960958218893,45.5411901469428,25.079872407968907,104.80935072788114,74.72616676907762,55.5,77.0,27.0,29.0,49.0,25.0,20.0,14.560219778561036,15.652475842498529,13.5,24.0,84.0,69.26037828369117
1930,1930,29.614185789921695,148.06079832285116,16.492422502470642,30.083217912982647,41.10960958218893,45.880278987817846,25.079872407968907,100.96038827183659,70.8801805866774,53.5,76.0,25.0,27.5,46.5,23.5,18.5,15.524174696260024,15.652475842498529,14.0,24.0,85.0,71.47027354082255
1931,1931,30.59411708155671,150.28306624500314,15.811388300841896,28.160255680657446,41.10960958218893,45.880278987817846,24.698178070456937,99.04039579888602,70.8801805866774,53.0,74.0,22.0,25.0,47.0,26.0,17.0,15.811388300841896,15.231546211727817,14.0,22.0,83.0,73.05477397131553
